,model,error,auc
73,linear_regression,0.2515723270440252,0.7588840753033975
74,linear_regression,0.2558561281547529,0.6819230784303352
75,linear_regression,0.24376605712558563,0.6822497649082511
76,linear_regression,0.2530048076923077,0.7383042255763782
77,linear_regression,0.22418833666717952,0.800810726972455
78,linear_regression,0.2125462392108508,0.8262042641592756
79,linear_regression,0.25118555912498086,0.765868438430155
80,linear_regression,0.24890168156339953,0.6670452702422367
81,linear_regression,0.24318947046219774,0.6780669298969588
82,linear_regression,0.2543602407778979,0.7357186872743164
83,linear_regression,0.23220973782771537,0.7662337480115968
84,linear_regression,0.18515684774292274,0.8512864308478962
85,linear_regression,0.22804639252899528,0.7881418468649157
86,linear_regression,0.24546722454672243,0.6788429600068395
87,linear_regression,0.24714655303606758,0.6789534760466385
88,linear_regression,0.24856120703064244,0.7697385902165913
89,linear_regression,0.2299264360619815,0.7611403488786084
90,linear_regression,0.18246262906457078,0.8516889958774794
91,linear_regression,0.2237590287382818,0.8135427667974251
92,linear_regression,0.25494707777266457,0.6829648760852327
93,linear_regression,0.2560638624501075,0.662188919373215
94,linear_regression,0.24415941365093907,0.7489688610052694
95,linear_regression,0.24526030695154977,0.7450649933262072
96,linear_regression,0.23666146645865838,0.735544513829463
97,linear_regression,0.24395224630851398,0.7264461266373455
98,linear_regression,0.24666155026861092,0.6845488362728895
99,linear_regression,0.24667902378745754,0.6729064967723863
100,linear_regression,0.24052367179174916,0.7066432279924046
101,linear_regression,0.25685629211722305,0.6535075577468235
102,linear_regression,0.21975992613111728,0.782266774672607
103,linear_regression,0.221604938271605,0.7701082815234171
104,linear_regression,0.24437942716353556,0.6739906592925575
105,linear_regression,0.24664838513101772,0.6826934646564984
106,linear_regression,0.2492726994334712,0.716272842076157
107,linear_regression,0.24747702967314356,0.680412166395563
108,linear_regression,0.22064056939501775,0.7460896735501491
109,linear_regression,0.2375507747856176,0.723178849186825
110,linear_regression,0.24460874922982134,0.6795097224125314
111,linear_regression,0.2481953616955921,0.6805312342383697
112,linear_regression,0.24910921766072813,0.7185688914910228
113,linear_regression,0.26184615384615384,0.6805778848920001
114,linear_regression,0.21674655482324745,0.7749625348353537
115,linear_regression,0.21237585943468296,0.7746351880505088
116,linear_regression,0.24309723889555823,0.6802041082585922
117,linear_regression,0.25319181664359325,0.6795883953452931
118,linear_regression,0.2601700060716454,0.6633328577263098
119,linear_regression,0.2506976744186047,0.6790454721778448
120,naive_bayes,0.2724222086638194,0.6770814377585607
121,naive_bayes,0.6362339514978602,0.5711630221056532
122,naive_bayes,0.27978560490045945,0.49851986735269
123,naive_bayes,0.24636572302983928,0.5068260583983981
124,naive_bayes,0.27576263469418727,0.5202303293265705
125,naive_bayes,0.2773778526573748,0.5201254862592546
126,naive_bayes,0.31226765799256506,0.7128606104533687
127,naive_bayes,0.3386308068459658,0.6893707863444964
128,naive_bayes,0.7425588281128253,0.49429432003232404
129,naive_bayes,0.25235920852359206,0.5022711318965831
130,naive_bayes,0.7365681922547069,0.5041445355380325
131,naive_bayes,0.7051140833988985,0.5330593132154006
